,Score,Text
319,5,a beautiful capper to not only just this new trilogy but the entire skywalker saga
320,3,though the last jedi left more than one question unanswered and plenty of room for developing certain themes that are only hinted at in the film the rise of skywalker strays from johnsons direction and takes a different path entirely
321,3,the lack of artistic integrity plus the constant disappointments regarding each big moments climax ruins one of the most anticipated movies of the year next time just build a roadmap disney
322,4,the rise of skywalker is a messy film that contains too much plot for its own good but also a really entertaining movie that showcases why audiences love star wars
323,4,the story is messy theres enough plot to fill two movies and some of its characters need more attention but this is still very much a star wars film and will evoke many of those same old feelings of kid-like joy and excitement for those who allow it
324,3,a long time ago in a galaxy far far away the creators of the new star wars trilogy must be dedicated environmentalists because they keep recycling the same old material over and over and over
325,4,the rise of skywalker is a satisfying and spectacular end to the third trilogy
326,4,adam driver as kylo renben solo is the best thing the sequel trilogy gave us the film has way too many flaws but my fandom couldnt help to enjoy every minute of it full review in spanish
327,3,capably made but misguided in its attempts to satiate its fanbase the rise of skywalker marks some kind of end to the franchise
328,2,the last jedi took some narrative risks that didnt pay off but a follow-up that plays it safe hardly seems preferable what should feel like an epic conclusion to a 42-year-old story instead acts as proof that the franchise has lost its way
329,4,daisy ridley and adam driver are the mvps of rise of skywalker both give their all in their final performances as rey and ben solo
330,4,a noteworthy farewell to the skywalker saga with the heart and action we have come to love from the star wars franchise
331,1,a disjointed rushed and incohesive mess of fan service and b genre plotting
332,3,abrams knows when and how to play the nostalgia card without getting intoxicated with it allowing us to say goodbye to the heroes of the original saga but without removing the focus from the real protagonists of this story full review in spanish
333,2,the expected soulless capstone of a four decade saga
334,3,jam packed with action and plot the rise of skywalker gets bogged down with exposition and tying up loose ends
335,3,the rise of skywalker is filled with narrative dead-ends aborted character arcs and generic fetch quests all designed to please as many people as possible
336,4,its a shame the story isnt stronger but the rise of skywalker is still never less than entertaining  when its at its best it really does remind us why we fell in love with star wars in the first place
337,4,attempting to reverse all of the details in the prior film this hackneyed adventure finishes out the third star wars trilogy well enough but does so in a surprisingly disappointing fashion in spite of its own positive qualities
338,4,the stakes are higher the allies are scarcer and the enemies more plentiful building to a grand climax
339,4,far from perfect but offers enough action and heart to satisfy the majority of moviegoers
340,2,a messy and ultimately underwhelming experience but one that feels so desperate to please that the sense you leave with is not one of anger or annoyance but rather one of pity
341,3,its somewhat artificial a mid-term film that abruptly closes the popular space opera saga full review in spanish
342,2,the rise of skywalker is so scared of doing something wrong that by the end it doesnt do much at all
343,2,it leaves many questions unanswered a feeling of dissatisfaction deep in your stomach and a strange sense of paralysing disappointment
344,4,spoiler alert there are ewoks at the end dancing
345,4,if anything the movie plays it too safe with everything tied up too neatly but as a final chapter for these characters its a solidly satisfying conclusion
346,3,the rise of skywalker is a middling affair too intent upon pleasing the fans to rid itself of its stop-go-stop rhythm
347,2,it is by far the weakest out of the new trilogy and what should have been a triumphant end to the saga the rise of skywalker just ends in bitter disappointment
348,2,so much thrown at you with so little character reaction that it feels more like fanfiction
349,3,its like jj abrams missed the day of scriptwriting school when they taught show dont tell
350,4,this last go-round neither disappointed nor thrilled me it just exists theres always something going on and thats part of the problem theres never not something going on no pause for breath no beauty or poetry
351,2,rise of skywalker is less a film and more a series of moments strung together to please a cabal of corporate overlords
352,3,the way abrams and terrios script wrap up the entire skywalker saga in this final chapter of star wars sequel trilogy left me both baffled and yes a mixed feeling
353,4,daisy ridley and adam driver have both honed their individual characters and chemistry to a very strong place and their scenes together are easily the strongest in the film
354,3,it is trying to accomplish a lot because it has to tie up every plotline it has to involve every character it has to has to take you to every planet and so in trying to cram in all of that it feels very cursory and very rushed
355,2,i havent walked out of a franchise movie this disappointed in a whilelike was that the ending of star wars literally likewhoever has these new movies they have an uphill battle
356,2,if this new series is coming they need to take some risks and stick to itbacktracking like this does no service to the genre
357,2,it plays like a re-run warming over the familiar franchise teamsplagued by lazy writing and narrative freak-outs and its really not entertaining
358,3,star wars ends with a whimper not the royal farewell the franchise deserved
359,4,this film is a satisfying conclusion and so faithful film fans enjoy this last installment of the star wars films as we have known them
360,3,a good explosion and spaceship-filled time at the cinema but instead of a brave new direction it was the same old stuff recycled ah well still better than episode i
361,3,the changing of reys origins really hinders the kind of epic conclusion this could have been
362,3,star wars rise of skywalker made a lot of strange turns overlooked details in order to force this narrative to a predetermined ending
363,4,fundamentally a nostalgia machine drawing heavily on the iconography and narrative beats of the original trilogy but with just enough of twists that it feels relatively new
364,2,this is a submissive sloppy apology for a terrific movie this is a series apologizing for itself when it didnt need to which just feels embarrassing
365,5,the best star wars episode since the empire strikes back with as much nostalgia as new story content star wars the rise of skywalker rose to the occasion full force pun intended ignore the haters
366,3,reverts some of the brilliant subversions of the last jedi it does so in a way that feels punitive almost as if to change is an offensive notion for the biggest movie franchise in history
367,3,its hard to believe at the culmination of 42 years and nine movies that the last three would be essentially improvisational exercises by all directors concerned
368,2,kudos to jj abrams for doing something extraordinary he has made me not care about star wars for the first time ever im kind of relieved that its over because it has stopped being fun
369,4,star wars the rise of skywalker is a good tentpole movie for the holiday season and a fun star wars movie that ends on a high
370,4,powerful entertainment on an enormous scale its the most emotionally resonant star wars movie since return of the jedi in 1983
371,3,the movie is so determined to be all things to all people that it overstuffs itself becoming more of a star wars fan collage than a movie on its own terms
372,3,the rise of skywalker banks on franchise nostalgia for a finale designed to please fans while playing it safe and suffering perhaps as a consequence
373,2,neither abrams nor johnson who have more than proven their skills as filmmakers on other occasions are guilty of a trilogys failure that of course originated without a true narrative purpose full review in spanish
374,3,it all feels just a little underwhelming but john williams done-to-death score swells to hopefully convince you that you are indeed having an awesome experience and daisy ridley in particular acts her heart out
375,4,not the roaring perfect send-off we had hoped for but its still a fun sometimes exhilarating adventure and helps to remind us why star wars will live on
376,5,the pacing in the first act leaves something to be desired but at the end of the day the joy i felt watching this beloved story come to its conclusion could not be diminished the action the characters and the overall world won me over one last time
377,4,they kind of went back to the feel of the original star wars even the heavy undertones still felt fun
378,3,the crux of this dense narrative is a string of reveals that work at the cost of coherence and continuity with everything that has come before
379,3,42 years after the 1st starwars opened the final chapter of the skywalker saga rides mostly on nostalgia &amp little innovative storytelling while enjoyable and rousing at times when its over i was left with an overwhelming sense of meh
380,5,abrams is a purely visual narrator and works with functionality and integration and the result is classicist and dynamic full review in spanish
381,4,the film may feel so carefully sculpted that it lacks a sense of spontaneity or earthy honesty but its final scenes are beautifully played
382,3,it was fine and hopefully means that we can start fresh with whatever lucasfilm has on the docket for the future of this franchise
383,4,the nitpicks are small compared to what the film gets right
384,4,rey and kylos love-hate tête-à-tête remains front and center in rise of skywalker even amid some mind-numbing periphery
385,3,it was entertaining and ended up giving me more than i expected but i wast expecting much full review in spanish
386,3,a sizable amount of the narrative of the rise of skywalker is spent specifically undoing what happened in the last jedi and the result is a film that lacks forward momentum
387,4,there is plenty of action in this film and the actors do a good job the story is similar to other star wars stories with similar plot twists and revelations
388,2,it was just a lot of unexplained tension you cant just make a suspenseful dramatic scene without making me care
389,1,oh okaythey were just making things up as they went along
390,2,for every gasp-inducing jolt and hold-for-tears touching moment a sense of betrayal almost always follows
391,3,an entertaining yet disappointing finale to the skywalker saga full review in spanish
392,3,it does remain a broadly enjoyable film  at the same time it is too long weirdly paced and overwhelmingly too busy
393,5,the rise of skywalker is a near-perfect close to the sequel trilogy that drives home the message of the franchise hope
394,3,the movies fun in a superficial key-dangling kind of way but theres no substance no imagination and no care given to the characters all which are what gave star wars the cultural foothold it has today
395,4,its a very messy movie but i enjoyed it
396,3,studio bigwigs use the force to tie all the knots squeeze tears along with some giggles and awws and consequently sell a universe-worth of merchandise shame
397,4,i loved the rise of skywalker and in the same vein i loved return of the jedi its fun action adventures good fights and ties everything upwhich its supposed to do
398,4,even with its flaws the rise of skywalker gave me a precious gift the chance to say goodbyemay the force be with you always
399,2,i think the rise of skywalker is poorly directed terribly filmed clumsily edited lamely scripted a perennial problem that one and badly acted
400,4,does enough to wrap up the new trilogy but it becomes evident that its overarching narrative wasnt clearly outlined and it shows
401,4,the reason why this film works as opposed to the many editions which were overpowered by clanking machines is because of the emotional connect it creates with us
402,3,wanted it to end on a magnificent note but it didnt still it was good entertainment maybe if they had followed george lucas notes it would have been epic
403,2,the rise of skywalker makes me comprehend the hatred that haters of the last jedi felt
404,1,witless soulless and a colossally boring experience to boot
405,2,the sprint to the finish leaves the audience with a movie that has more in common with transformers than return of the jedi
406,3,what goes around comes around in the alleged final chapter of the star wars saga a so-so jj abrams helmer that shoots more toward emotion than amazement
407,2,its definitely doing something doing what feels like dozens of things really across its heaving bloated 141 minutes
408,2,characters operate on one or two wildly unsophisticated levels shouting plot details at one another or shouting reheated platitudes at one another
409,2,the stars above and beneath the fiery eyes of daisy ridley the sole beacon with promise of a story with emotional investment and volcanic result j j abrams betrays daisy ridleys eyes
410,5,no we never wanted it to end but if it had to this is as good a way as any
411,4,director j j abrams who gets so much right here could have done better
412,4,its been 42 years since the original star wars and something of a miracle that abrams has been able to channel as much of its heart and humour but he summons a lovely grace note on which to end
413,3,star wars was never authentic science fiction it was always old-school serial-style adventure dressed in sci-fi trappings with religious overtones still it deserves better than the autopilot treatment it gets here geez
414,3,rather than delivering a truly exhilarating climax the rise of skywalker merely constructs an ok one its a missed opportunity in a lot of ways
415,3,far from reprehensible the rise of skywalker manages initially to evoke frustration which evolves to a profound apathy defined by questions of what couldve been
416,3,much like the work of storm troopers any shots taken at shocking twists are missed
417,3,the rise of skywalker never feels like a film that knows the answer to the question raised in its predecessors what is the overarching story of the trilogy instead it simply frames episodes vii-ix as an act of indulgence
418,3,this movie really disappointed me
419,3,abrams took what he terrio and lucasfilm executivesdeemed the least polarizing route which was to return to the model abrams used for the force awakens and deliver a safe albeit bland wrap-up that doesnt offend anyone
420,4,with director jj abrams back and strong performances from daisy ridley and adam driver the final installment in this trilogy is emotional fun and memorable for star wars fans
421,3,the saga ends with this somewhat watchable yet entirely disappointing entry that falls well short of the high bar set by its two top-flight predecessors
422,3,disney plays it safe with a slick but predictable finale
423,2,the rise of skywalker has very little trust in its audience offering not exciting new ideas but instead only the dim pleasure of recognition
424,3,chaotic and inconsistently paced this big dose of fan service gets a few things deliciously right and a lot disappointingly wrong
425,3,cynical and pandering in all the worst ways the finale to the skywalker saga shamelessly walks back the last jedis bolder and less-sentimental storytelling choices in favour of lazy unearned fan service
426,3,both daisy ridley and adam driver rise to the challenge of their roles with the former increasingly commanding the screen while the latter exhibits vulnerabilities beneath the cracked face mask
427,4,it will take you back and the force will go forward forever
428,4,though the movie doesnt have the courage to risk anything it still finds itself in the enjoyable safe space of being a perfectly decent star wars movie
429,3,its a star wars jukebox that generates remixes and medleys of the top 250 moments from earlier installments but at no point do we hear anything resembling a new melody sung
430,3,rise of skywalker has a bumpy start but finds its footing and when it does it flies especially in the third act
431,5,as satisfying a saga conclusion as the return of the king
432,2,the pettiness is strong with this one
433,4,the rise of skywalker is a satisfying conclusion for all three trilogies
434,4,sprawling and satisfying as nostalgic memories of flying on the millennium falcon continueand at least at disneyworld the force will always be with you
435,5,star wars the rise of skywalker is a star wars film which should give fans everything they could hope for and more
436,3,it marks the return of the franchise to plodding films
437,3,a naked exercise in retrograde nostalgia that is perfectly content with playing the hits but fails to provide anything new or exciting
438,4,yet despite its flaws and familiarity the rise of skywalker draws you in mainly because you are ardently invested in the characters old and new you want to know and care about their fates
439,4,i found the rise of skywalkers attempts to congeal the disparate elements from the previous eight chapters captivating no not every choice succeeds but a bold attempt is far more satisfying than a lackadaisical effort
440,3,the rise of skywalker isnt the worst star wars film but it may be the most star wars film
441,2,the ending makes no sense it is im sorry to say an outrageously dull watch a monumental disappointment and a flimsy finale to the skywalker saga
442,3,whereas johnsons the last jedi had been daring exciting and encapsulated everything that makes star wars great the rise of skywalker brings the trilogy to an end with a bland dull and very forgettable final entry
443,4,like so many my love for this franchise will remain undiminished even if this skywalker finale wasnt the film id been looking for
444,4,its still as much fun as ever because nostalgia and exhilarating glee rule the day
445,3,episode ix is packed with star wars mumbo jumbo &amp lots of fan-satisfying cgi speaking on behalf of non-fans i thank the force its done over finished through finally
446,3,it is the definition of derivative which makes the rise of skywalker a copy of a copy faint transparent hazy on the details
447,4,a list of flaws as long as a lightsaber but theres still plenty of majesty and power as star wars wraps up a 40-year saga
448,4,star wars rise of skywalker is an exciting action-packed film that should be proud of the ending that it is serving up
449,3,george lucas 1977 original a new hope was hokey and badly written but had a kind of seat-of-the-pants magic about it it also had soul something this film utterly lacks
450,1,it is shocking truly shocking how abjectly the rise of skywalker fails even the prequels as shoddy as they were at least offered something approaching a creative vision
451,3,episode ix gets the job done but its not very nimble or inventive
452,2,a succession of decisions aimed at mitigating fans malicious whims full review in spanish
453,3,not so much a continuation but a tangent an almost complete erasure of the bold choices made by rian johnson which dared to expand the series horizons but abrams has never been able to resist the dark power of the nostalgia full review in spanish
454,3,the rise of skywalker has its issues and jj abrams plays it too safe but it remains an entertaining film that families and friends can enjoy together for years to come
455,4,clunky and bit complex jj abrams does the impossible with trying to end the star wars saga with the competent and enjoyable the rise of skywalker but it ends up playing it safe and not taking enough narrative risks to stick a perfect landing
456,3,an extravaganza of fan service exposition and leaden mcguffin-based plotting there are some nice moments though
457,4,an accomplished end to a culturally significant saga but lets hope we can now draw a line
458,4,its very much time to put the skywalkers to bed at last and free up the galaxy for entirely new possibilities the force is strong with them and all of that but its clear that theres nothing more to see here
459,4,so much of the rise of skywalker appears impossible even likely improbable until it happens and then once more we are returned to a childlike state in awe of the mysteries of the force
460,4,i dont go into a star wars movie with the fear that my childhood will be ruined if the moviemakers give boba fett the wrong color headpiece so for me the rise of skywalker dumb title by the way played just fine as a sci-fi spectacle
461,3,it is at best fine and thats really what you want in a conclusion to a beloved sometimes personality-defining series that has spanned more than 40 years right fine
462,4,if you disliked the last jedi like i did youll like but probably not love the rise of skywalker if you liked the last jedi this review might not be for you
463,4,an intense and extremely emotional experience that falls apart when analysed its not a disaster but it works better emotionally than rationally full review in spanish
464,4,a gracious exit to the sags george lucas unveiled 42 years ago the nostalgic and sentimental film isnt concerned with breaking new ground as it is with bidding farewell
465,2,the rise of skywalker is a pitiful attempt to wrap up all nine films an experience so whittled down by the corporate process that it falls completely flat
466,3,disney can move on with the real work now picking the bones of whatever ephemera we comfortably identify as being star wars and repackaging it carefully so as to 1 sell funko pops and 2 try not to piss off anybody
467,5,like the falcon in the film the nigh-impossible task of trying to please most everybody is navigated with finesse amidst the bombast of a fitting conclusion
468,5,the rise of skywalker is thrilling emotional and poignant it really is the perfect ending to the skywalker saga
469,3,star wars the rise of skywalker is an emotionally charged visually stunning and action packed close to the epic story that still manages to disappoint it pandered to fans at the expense of telling a compelling story
470,4,like a ride in the millennium falcon rickety often misguided and often seeming like its about to fall apart at any moment but the sucker sure does move fast and keep things exciting
471,3,star wars the rise of skywalker lifts our spirits just enough
472,5,thrilling charming at times cheezy like all star wars films convenient and wonderful throughout kudos to ridley for putting a daunting franchise on her back
473,3,abrams and company is sloppily pulling strings to reach their safe conclusion of sacrifice faith and convenience it admittedly works regardless of whether it resonates
474,2,theres something very off about the rise of skywalker it sort of all just happens there was no build-up no suspense theres nothing to experience and i want a star war to be an experience
475,4,star wars is and has been a very important and memorable part of my life and i must say that star wars the rise of skywalker is the perfect ending to my childhood
476,1,when we meet up with brash pilot poe hes lightspeed-skipping his way out of trouble and abrams is in much the same mode whisking you from one thing to the next before you have much time to think or feel anything in response
477,4,star wars the rise of skywalker has several mind blowing revelations &amp action from beginning to end ties everything together in a neat little bow while fixing past issues
478,2,just a shame then that reys story should have so little emotional resonance and that the skywalker saga with its 42 years of cinematic tradition should end on such a charmless whimper
479,2,this is what happens when an artist lends his voice to the pre-approved sanitized discourses of big corporations that in order to not offend anyone fails on emotionally engaging anybody full review in portuguese
480,4,lacks the outright fun and originality of the previous episodes but it achieves its goal of providing big scale closure
481,3,a somewhat bitter end to the third trilogy competent entertainment at times and a warning to disney that they have to rethink some things full review in spanish
482,2,i find its lack of faith-in its audience in its predecessors in itself-disturbing
483,3,star wars episode ix the rise of skywalker latches its existence to the past and in doing so the movie fails its own characters and story
484,3,backtracking on the bold narrative choices of the last jedi jj abrams ends the skywalker saga with clumsy appeals to nostalgia and the conservative side of star wars fandom
485,3,it tries to be everything to every kind of star wars fan hurriedly wrapping up the saga in a convenient bow but it instead often comes off as trite and sycophantic
486,4,ridley and boyega are stalwart and isaac brings wry personality to his role
487,5,jj abrams has pulled off the seemingly impossible and delivered one of the best films of the year with a final scene that couldnt possibly be more perfect bringing us a nostalgic echo of where it all started in 1977
488,3,despite the vast deepness and immense possibilities of george lucass long-ago galaxy located far far away disneys star wars is more an exercise in exhumation than storytelling
489,3,action-packed end of iconic series falls short of greatness
490,3,it isnt among the best of the star wars franchise but it has just enough exhilarating thrills strong performances impressive visual effects and a coherent plot to be a mildly entertaining harmless spectacle
491,1,the rise of skywalker could be described as a mere compendium of betrayals it commits against itself
492,4,abrams opts for completeness rather than pacing still this final movie concludes satisfyingly with a mix of joy and sadness
493,4,while the film is certainly messy and manic fans should take a breath and see it for themselves  theres a lot to like and even love in the rise of skywalker
494,3,they could play john williams ominous imperial march over scenes of uncle deadly from the muppets lobbing green goblin pumpkin-bombs at scrat the saber-squirrel i mean they literally could legally and many of us would still feel emotions stir
495,5,if it is indeed the last word on the characters and settings that have spanned 40 years of movies it is a handsome and bittersweet ending
496,4,a very good star wars film it has moments of greatness and is a fitting end to the trilogy
497,4,i loved it it was much better than cats im going to see it again and again
498,3,star wars the rise of skywalker brings the mythic cinematic saga to a rousing conclusion
499,4,there is a lot to love here especially if you are a fan of the original trilogy
500,2,sigh well at least jj abrams put the proper round antenna back on the falcon
501,4,hyperspeed action and stunning effects fuel this satisfying sci-fi adventure
502,3,rise of skywalker feels more like a disney theme park experience than an organic narrative
503,3,of course fans will want to see it whether to embrace it or criticize it but its not likely to lead to demands to continue the story of the surviving characters
504,3,however as visually impressive as the film is its the quiet moments that resonate the film wows you but more importantly it moves you
505,4,star wars the rise of skywalker is a lot of fun a genuine achievement and a great way to spend a couple of hours at the theater but once the stardust settles well probably still admit that the original trilogy is just never going to be matched
506,3,its a rushed film that force throws everything at the screen resulting in a lackluster ending that goes out with a whimper instead of a bang
507,4, giving carrie fisher top billing the big skywalker finale isnt the best film of the series but does manage closure of every current character arc topping it off with a perfect coda
508,4,its such fun full of the rackety exuberance of the now forgotten saturday morning movie serials that were an influence on george lucas
509,5,spectacularly grows its already-developed characters delivers on epic action and concludes a saga that has spanned decades
510,4,this follow-up feels like a lack of conviction from the franchise as a whole this is despite the film being just about the best possible version of a final star wars film
511,3,those hoping for surprises meaningful story arcs engaging set pieces and characters worth a damn should shrug it off the franchise that reimagined cinema and earned a second life is spinning its wheels in the coarse sand again
512,2,the rise of skywalker is like a hyperactive three-year-old filled with boundless energy and often entertaining but mostly messy and directionless
513,4,a marked qualitative step down from its immediate predecessor but it nonetheless ably closes the book on the skywalker saga for now and proves the force is still a force
514,2,it is an act of cowardice that sees a beloved nine-film saga sputter to a hugely disappointing and unaffecting end congratulations internet you killed the thing you ahem loved
515,2,the rise of skywalker captivates with its alluring special effects but it is a finale that infuriates to the extent that you literally dont care anymore why settle for a saturated and uneven reboot of return of the jedi
516,3,a mostly terrible movie with some admittedly great moments youd be better off skipping star wars the rise of skywalker and binge-watching a few episodes of the mandalorian instead
517,5,the force is strong indeed with this final chapter of the triple trilogythe film delivers on all fronts combining eye-boggling visuals with a meaty central storyline loaded with a series of resounding emotional thunder bolts its quite a ride
518,4,like most long standing franchises this installment is like marmite you are either going to love it or hate itand we loved it
519,2,even a long time ago in a galaxy billions of light years away the laws of reason would apply and these stories would be too ludicrous to be involving
520,4,theres a poetic touch to abrams conclusion that makes rise of skywalker a thematically satisfying finish
521,3,im genuinely stunned that not only did abrams learn nothing from the risks taken by johnson but also that he actively attempts to dismantle some of johnsons boldest choices
522,4,jj abrams throws everything against the way and the good news is much of it sticks
523,4,the storytelling is solid and at a time when the cgi in some films is downright embarrassing the special effects are superb
524,5,its an exciting absorbing and emotional conclusion that lifts the entire franchise to new heights
525,3,while it has some fun moments solid performances and striking imagery its simply too procedural and soulless to be anything more than adequate
526,3,you dont need a reason to see the rise of skywalker but if you did it would be daisy ridley her fierce commitment to playing rey with integrity intelligence and a total understanding of the kind of film shes in lifts her every scene
527,4,as star wars-y a movie as possible bursting with droid aliens lightsabers heroes villains and old friends to send the skywalker saga off with awell less of a pronounced limp than expected
528,2,the rise of skywalker unfortunately becomes forgettable nostalgia-pushing fodder
529,3,throughout star warsthe rise of skywalker youll keep waiting for that moment but that lump in your throat that ache in your heart that could only result from such beloved fictions becoming something more real it never comes
530,2,at best the rise of skywalker solidifies daisy ridley and adam driver as movie stars at worst it ends this narrative not with a bang but with a recycled image from a better movie
531,3,with rise of skywalker star wars limps to a close but theres still good in it
532,3,its too bad that the star wars saga has saved the worst for last
533,3,star wars the rise of skywalker is a fan-pleaser a tearjerker full of thirst camaraderie &amp woman-power for those looking for entertainment it delivers
534,4,the rise of skywalker rises above the current trilogys biggest mistakes and corrects course enough to deliver a surprisingly hopeful and optimistic finish
535,3,no amount of razzle-dazzle filling eyes and ears can cover up the glaring examples of questionable creativity and incomplete development enacted by abrams and lead screenwriter chris terrio
536,3,somehow were back to exactly where it all ended after return of the jedi those were the days
537,4,it might make no sense but the goodies get to win the baddies will always build a fatal flaw into their secret weapon and even when you die you still get to come back and pass on what you have learnt to the living
538,3,a movie that ends the series the way it began heavy on the spectacle and fan service light on imagination
539,4,the film could have ended with a bigger bang but it is still largely entertaining nonetheless full review in spanish
540,2,leave it to abrams to procure more mystery boxes but maybe this time it was one too many full review in spanish
541,4,this is a star wars movie about redemption learning to let go identity and coming home fan boys and girls will love it the naysayers should sit back and just enjoy the pure spectacle of it all
542,4,the rise of skywalker is epic spectacular surprising and most importantly brings its human stories to resolutions that brim with emotion
543,3,in terms of pure narrative its satisfying what it very rarely is is inspired
544,4,so rise will work for lots of folks but what once felt expansive now feels hermetic referring only to itself that happens sometimes even to families that once seemed so vital and fascinating to outsiders
545,4,if the central tenet of rian johnsons the last jedi was to kill the past to make way for the future the rise of skywalker is all about bringing the dead back to life
546,3,a harried and hectic affair
547,4,ok the final episode isnt perfect youll nitpick it forever with your friends but thats the point star wars isnt a movie its family were that close to it and the in-fighting about what it does right and wrong is as crucial as the love
548,4,the rise of skywalker is one last look back and while not triumphant it is a satisfying end of an era
549,3,as a conclusion to the trilogy it is undeniably messy and often frustrating but it has been made with skill and on some basic level it brings the storyline to a reasonably satisfying ending
550,3,the rise of skywalker is a mostly satisfying spectacle  its fun entertaining visually dazzling and yes emotional in parts too but as the grand finale of the skywalker saga it falls somewhat short of the mark
551,3,skywalker is expensive general family entertainment galaxies away from original and inspiring
552,2,this is the first time i feel like the force is no longer with the franchise and the darkside of corporate cookie-cutter greed has proven to be victorious
553,4,if anything the story is like a two-hour-plus highlight reel loaded with action-packed space battles laser sword duels and the return of the ultimate star wars villain emperor palpatine
554,2,it should never be so clear to audiences that something in the filmmaking process has gone so terribly wrong
555,3,the rise of skywalker does what it needs to do in 2019 to be able to survive full review in spanish
556,3,occasionally charming relentlessly entertaining and undeniably overstuffed
557,3,unnecessary exposition delivered with the pummeling speed of a tennis ball machine colliding logic lack of consequence for momentous setbacks and a sense of inevitabilitymake jj abrams capper to the original saga a disappointment
558,4,star wars the rise of skywalker is an entertaining but deeply flawed final chapter that ultimately plays it too safe
559,2,cartoonish and absurd star wars the rise of skywalker is the film that fans demanded but not the one the franchise deserves
560,1,with a couple nostalgic twists and turns this newest and very long final installment will be as memorable as the phantom menace
561,4,a mix of epic filmmaking with stunning special effects that overcome the breakneck pace of a sloppy first hour skywalker falls somewhere between the original and empire with respect to satisfaction
562,4,director jj abrams revisits worlds and echoes events from the sagas more beloved stories musical cues from john williams iconic scores heighten the moments
563,2,protagonists react in ways that never matter to us at all because they do not serve their development as characters but rather the preparation of the final climax full review in spanish
564,2,in trying to please everyone rise of skywalker struggles to please anyone
565,3,the rise of skywalker is the weakest and most unengaging installment of the new trilogy
566,2,it corrects its course in a deeply fearful way to the point it distrusts the audience
567,4,star wars the rise of skywalker is clearly fan service which is fine but so much of it hammers home that its the end it loses some of what makes a great star wars film
568,3,the rise of skywalker is a complicated blend of contradictions it lacks the balance it desperately seeks as it entertains and disappoints with equal measure
569,3,the rise of skywalker earns much of its affection with cameos callbacks and other candy that will be best savored upon repeat viewings
570,4,this saga has been told and as a long-time fan im very happy with the result the circle is now complete
571,4,in the weeks leading up to star wars the rise of skywalker the message was clear were going to answer your questions its true they did a lot of them all at once
572,3,this isnt a flawless finale to the skywalker saga but its one that will probably give the broadest cross-section of star wars fans what they want which is both a strength and a weakness
573,3,its not unlike a rollercoaster ride in that it has just enough thrills to satisfy fans but you can also see exactly where the ride begins and ends before you strap in
574,3,the skywalker saga has been brought to an end and sadly that was the only goal the rise of skywalker seemed to have
575,5,as someone who has spent most of my life loving this franchise with a career that has been often based around it i left happy
576,4,this spiritual end of an era manages to thrill us full review in spanish
577,4,fans will find more to like about the rise of skywalker than dislike and even in its faults there lies the joy of flying through a familiar universe one last time
578,3,while elements certainly shine surprisingly poor storytelling really hurts what could have been a grand finale
579,4,a messy yet satisfying conclusion star wars the rise of skywalker fails to take the risks it could have but still offers a gratifying and sentimental farewell
580,4,with another billion dollar box office movie on the line it feels as though abrams plays things safe finding ways to wind up loose ends mollifying the fan base and going for the tie rather than the win
581,3,star wars the rise of skywalker suffers the misfortune of having a director who cares more about digging up a franchises past than moving forward with an original story
582,5,a finale needs to be epic and episode ix brings about a long overdue increase of scope
583,5,star wars the rise of the skywalkerthe ultimate conclusion to a franchise started in 1977
584,2,the rise of skywalker is a bad movie and a miserable finale that serves no purpose other than to reassure at least some adult fans of the original star wars that they are still the chosen ones of the pop culture galaxy
585,2,we waited 42 years for laughable plot twists and fan service on steroids
586,4,when it comes to a franchise as near-and-dear to our hearts as star wars i think most people will be happy that reward was valued more than risk
587,4,star wars the rise of skywalker is a filet mignon of fan service a film that checks every box a few cheers will erupt a tear or two may be shed you will certainly be glued to the screen for every second
588,3,a parade of beloved characters walking through and waving as well-remembered scenes are re-enacted around them is not a story but a pantomime
589,3,saddled with the daunting task of bringing the official skywalker saga to a definitive close this ninth episode keeps switching between alternating states of good-natured incoherency and controlled panic
590,3,rise of skywalker simply feels like a shrug of the shoulders and a march into the expected
591,3,driver and ridleys performances are sensational and make this film an interesting end to george lucas beloved space opera
592,3,rise of skywalker operates as if the only cinematic tradition at its disposal hails from a galaxy far far away
593,3,for a movie predicated on satisfying fans the rise of skywalker is a distinctly unsatisfying conclusion to what had been an imperfect but mostly good few films
594,3,star wars the rise of skywalker gets bogged down in exposition and course-correcting the last jedi but does have some fun moments and fan service
595,3,the rise of skywalker ends this saga with a resounding thud
596,3,star wars the rise of skywalker has its moments but as the finale that this super-successful franchise it fundamentally buckles under fan anticipation
597,2,jj abrams conclusion to the skywalker saga is always looking to the past so it fails to find a way forward
598,3,it is disney running back to the safety of nostalgia capitulating to those who didnt like the new and releasing a movie that could only be made in a unruly attempt to please everyone
599,5,the movie snaps together like a jigsaw puzzle a series of concluding beats that seem inevitable and perfect and designed to please all parties so long as you dont dwell on the logic too much
600,3,theres no spark no joy no life if this truly is the end of the skywalker saga what an ignoble end it is
601,3,as dicey as it all is narratively abrams milk earnest thrills out of acts of unity writ large and find a corny emotional buoyancy in heartfelt reunions
602,4,a thrilling conclusion to the skywalker saga that offers action emotion and humour while finding the right balance in appealing to both old and new audiences
603,4,abrams gives the saga one last epic push delivering grand setpieces derring-do duels and a classic tale of good versus evil
604,3,its moving at times but also somewhat forgettable the nostalgia is strong even if the narrative force is weak
605,4,a thoroughly proficient if rather mechanical capstone to a series that despite its ups and downs captured the imagination of generations of movie-goers
